File Path	File Name	Thumbnail	Projection	type	grid	description	image_format	organism	cell_type	cell_subtype	treatment
https://janelia-cosem-datasets.s3.amazonaws.com/cam_hum-airway-14500/cam_hum-airway-14500.zarr/recon-1/em/fibsem-uint8/	cam_hum-airway-14500	https://janelia-cosem-datasets.s3.amazonaws.com/cam_hum-airway-14500/thumbnail.jpg		intensities	em	 Human Airway Epithelium, from human primary nasal basal stem cell progenitors, differentiated using Air Liquid Interphase (ALI) cultures	zarr				
https://janelia-cosem-datasets.s3.amazonaws.com/cam_hum-airway-14771-b/cam_hum-airway-14771-b.zarr/recon-1/em/fibsem-uint8/	cam_hum-airway-14771-b	https://janelia-cosem-datasets.s3.amazonaws.com/cam_hum-airway-14771-b/thumbnail.jpg		intensities	em	 Human Airway Epithelium, from human primary nasal basal stem cell progenitors, differentiated using Air Liquid Interphase (ALI) cultures	zarr				
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ccl81-covid-1/jrc_ccl81-covid-1.zarr/recon-1/em/fibsem-uint16/	jrc_ccl81-covid-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ccl81-covid-1/thumbnail.jpg		intensities	em	SARS-COV-2-infected grivet kidney epithelial (Vero) cells	zarr	Cercopithecus aethiops	Cell culture	Vero	SARS-COV2
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_choroid-plexus-2/jrc_choroid-plexus-2.zarr/recon-1/em/fibsem-uint8/	jrc_choroid-plexus-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_choroid-plexus-2/thumbnail.jpg		intensities	em	Mouse choroid plexus	zarr	Mus musculus	Tissue	Choroid Plexus	Wild-type
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_cos7-1a/jrc_cos7-1a.zarr/recon-1/em/fibsem-uint8/	jrc_cos7-1a	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_cos7-1a/thumbnail.jpg		intensities	em	Wild-type, interphase COS-7 cell (ATCC CRL-1651)	zarr	Mus musculus	Cell culture	Kidney	ATCC CRL-1651
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_cos7-1b/jrc_cos7-1b.zarr/recon-1/em/fibsem-uint8/	jrc_cos7-1b	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_cos7-1b/thumbnail.jpg		intensities	em	Wild-type, interphase COS-7 cell (ATCC CRL-1651)	zarr	Mus musculus	Cell culture	Kidney	ATCC CRL-1651
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ctl-id8-1/jrc_ctl-id8-1.zarr/recon-1/em/fibsem-uint8/	jrc_ctl-id8-1	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_ctl-id8-1/thumbnail.jpg		intensities	em	Killer T-Cell attacking cancer cell	zarr	Mus musculus	Cell culture	T-Cell,ID8 Cell	mEmerald-Chmp4b,TOMM20-SNAP
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-ellipsoid-body/jrc_fly-ellipsoid-body.zarr/recon-2/em/fibsem-int16	jrc_fly-ellipsoid-body	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-ellipsoid-body/thumbnail.jpg		intensities	em	Drosophila ellipsoid body	zarr	Drosophila melanogaster	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-fsb-2/jrc_fly-fsb-2.zarr/recon-2/em/fibsem-int16	jrc_fly-fsb-2	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-fsb-2/thumbnail.jpg		intensities	em	Drosophila brain: Fan-shaped body	zarr	Drosophila melanogaster	Tissue	Brain	
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-mb-1a/jrc_fly-mb-1a.zarr/recon-1/em/fibsem-uint8/	jrc_fly-mb-1a	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-mb-1a/thumbnail.jpg		intensities	em	Drosophila mushroom body	zarr				
https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-protocerebral-bridge/jrc_fly-protocerebral-bridge.zarr/recon-2/em/fibsem-uint8	jrc_fly-protocerebral-bridge	https://janelia-cosem-datasets.s3.amazonaws.com/jrc_fly-protocerebral-bridge/thumbnail.jpg		intensities	em	Drosophila brain: protocerebral bridge	zarr	Drosophila melanogaster	Tissue	Brain	
